name,male_percent
Charity,0
Jamal,100
Kassandra,0
Trina,0
Cornelius,100
Daphne,0
Brennan,99
Noelle,0
Justice,51
Delilah,0
Lamar,99
Orville,100
Desmond,100
Katelynn,0
Latasha,0
Nettie,0
Jayson,100
Lukas,100
Rufus,100
Ken,100
Fatima,0
Rena,0
Zion,84
Kayleigh,0
Zackary,100
Savanna,0
Jakob,100
Essie,1
Myrna,0
Lottie,0
Brooklynn,0
Shayla,0
Fern,0
Rylan,88
Aileen,0
Declan,100
Valentina,0
Kyler,98
Lou,2
Conrad,100
Clint,100
Dane,100
Teddy,100
Dexter,100
Antonia,4
Ora,7
Zachery,100
Esteban,100
Lela,0
Elbert,100
Debora,0
Shana,0
Paisley,0
Angeline,0
Maddox,99
Guillermo,100
Dewey,100
Janette,0
Bret,100
Doyle,100
Darrin,100
Dorothea,0
Bradford,100
Lenora,0
Dena,0
Jolene,0
Amari,55
Dina,0
Hugo,100
Cherie,0
Haylee,0
Felipe,100
Gale,35
Brielle,0
Addie,0
Camryn,10
Macy,0
Keira,0
Helene,0
Makenna,0
Estella,0
Amaya,0
Reid,100
Cierra,0
Emery,40
Hillary,0
Amir,100
Randi,0
Helena,0
Blaine,100
Fay,5
Alina,0
Marlon,100
Shanna,0
Dick,100
Brenna,0
Carissa,0
Deandre,100
Darrel,100
Randal,100
Cathleen,0
Rory,85
Leanne,0
Solomon,100
Daniella,0
Will,100
Heath,100
Joni,0
Mila,0
Delia,0
Shauna,0
Candy,0
May,0
Angelique,0
Sterling,97
Lea,0
Darnell,97
Branden,100
Gilberto,100
Mickey,88
Athena,0
Jameson,100
Francesca,0
Alyson,0
Quinton,100
Julianne,0
Amos,100
Leilani,0
Rowan,62
Stewart,100
Karin,0
Etta,0
Gwen,0
Tania,0
Jodie,4
Kendrick,100
Emilia,0
Lucile,0
Jewell,9
Cade,100
Greyson,100
Clare,6
Zachariah,100
Alivia,0
Moises,100
Sondra,0
Joaquin,100
Lionel,100
Imogene,0
Bert,100
Tiana,0
Adan,100
Reed,100
Jayne,0
Kailey,0
Phoebe,0
Antoine,100
Lara,0
Staci,0
Rocco,100
Wilfred,100
Alayna,0
Ina,0
Luz,1
Jarrod,100
Emil,100
Iva,0
Lorna,0
Kenya,4
Polly,0
Percy,100
Eugenia,0
Brenden,100
Tomas,100
Talia,0
Hadley,1
Davis,100
Goldie,0
Heaven,0
Izabella,0
Johnathon,100
Lyla,0
Taryn,0
Marley,10
Elva,0
Aniyah,0
Dewayne,100
Timmy,100
Jenifer,0
Jayce,99
Fiona,0
Blanca,0
Juliet,0
Chasity,0
Stephan,100
Cary,90
Louie,98
Xander,100
Kiana,0
Rosetta,0
Cruz,87
Susanne,0
Sammie,79
Rocky,100
Kris,49
Lizbeth,0
Sage,34
Trudy,0
Reuben,100
Hallie,1
Landen,100
Julissa,0
Ramiro,100
Arielle,0
Willow,0
Lupe,23
Rogelio,100
Jerald,100
Van,98
Maribel,0
Carey,57
Imani,1
Maximus,100
Sienna,0
Freddy,100
Luca,99
Tiara,0
Royce,99
Effie,0
Tamika,0
Hilary,1
Ingrid,0
Ashlynn,0
Quincy,94
Simone,0
Boyd,100
Marquis,100
Bettye,0
Rosalind,0
Paola,0
Jeannine,0
Harmony,0
Rodrigo,100
Kamryn,11
Glenna,0
Elsa,0
Tristen,89
Leann,0
Eldon,100
Kali,0
Lizzie,0
Ericka,0
Maritza,0
Winston,100
Ximena,0
Ryleigh,0
Latonya,0
Leola,0
Blair,46
Kristian,78
Willa,0
Bridgette,0
Lexi,0
Emilee,0
Kody,100
Audra,0
Bobbi,0
Jeanine,0
Doug,100
Rolando,100
Kingston,100
Elvira,0
Luella,0
Otto,100
Keisha,0
Tatum,15
Teagan,16
Brynn,0
Lacy,18
Ola,0
Anderson,99
Lamont,100
Sheena,0
Deana,0
Isiah,100
Larissa,0
Juliette,0
Conor,100
Johnie,82
Lorie,0
Darwin,100
Garland,100
Tonia,0
Presley,6
Jeri,0
Luna,0
Angelia,0
Jami,0
Jarrett,100
Elisha,44
Nia,0
Gael,100
Malia,0
Aisha,0
Vance,100
Margo,0
Greta,0
Elaina,0
Clarice,0
Emiliano,100
Millie,0
Kaylie,0
Mauricio,100
Dorian,90
Noe,100
Carmela,0
Grover,100
Viviana,0
Christi,0
Brianne,0
Holden,100
Evangeline,0
India,0
Leanna,0
Emilie,0
Thaddeus,100
Cadence,2
Eve,0
Matt,100
Brooks,100
Edmond,100
Darcy,2
Buddy,100
Nikolas,100
Jonas,100
Ryker,100
Loyd,100
Ladonna,0
Marcy,0
Brantley,99
Zander,100
River,73
Walker,100
Bernadine,0
Matilda,0
Phoenix,64
Kiera,0
Alanna,0
Charley,72
Alta,0
Keaton,99
Lauryn,0
Nell,0
Kinsley,0
Baylee,0
Tabatha,0
Harlan,100
Tanisha,0
Alexus,0
Monte,100
Yasmin,0
Rodger,100
Adelaide,0
Susana,0
Darian,73
Perla,0
Terrie,0
Noemi,0
Karissa,0
Madalyn,0
Katlyn,0
Colette,0
Issac,100
Selma,0
Amie,0
Rhoda,0
Nelda,0
Aden,100
Bryanna,0
Reynaldo,100
Kelsie,0
Dorthy,0
Cleveland,100
Jase,100
King,100
Brendon,100
Maddison,0
Jayda,0
Emely,0
Cortney,9
Finley,38
Lenore,0
Norbert,100
Kiley,1
Latisha,0
Kassidy,0
Nathanael,100
Ruthie,0
Skye,4
Jess,100
Noreen,0
Leonel,100
Anton,100
Nayeli,0
Reece,84
Araceli,0
Stevie,59
Kyleigh,0
Esperanza,0
Burton,100
Vicente,100
Precious,0
Marlin,97
Murray,100
Kaylin,0
Caiden,100
Mara,0
Rosalyn,0
Norah,0
Melisa,0
Mikaela,0
Santos,87
Silvia,0
Dulce,0
Claudette,0
Derick,100
Elwood,100
Ayla,0
Rylie,1
Ed,100
Denis,99
Stefan,100
Mavis,0
Alessandra,0
Elton,100
Jefferson,100
Elnora,0
Phil,100
Maura,0
Finn,100
Ignacio,100
Lyric,13
Saundra,0
Judah,100
Efrain,100
Scotty,100
Harriett,0
Elyse,0
Zackery,100
Dee,21
Waylon,100
Katy,0
Frieda,0
Macie,0
Annmarie,0
Nola,0
Lorrie,0
Gay,0
Beatriz,0
Ila,0
Khalil,100
Cash,100
Erwin,100
Elinor,0
Kobe,100
Carmella,0
Elvin,100
Aniya,0
Adalyn,0
Annika,0
Malinda,0
Milo,100
Maci,0
Chandra,0
Chuck,100
Abbey,0
Sarai,0
Ahmad,100
Kaitlynn,0
Javon,100
Jaylin,58
Madilyn,0
Roscoe,100
Camilla,0
Elma,0
Itzel,0
Catalina,0
Virgie,0
Raegan,0
Titus,100
Valarie,0
Rusty,100
Destinee,0
Unknown,49
Winnie,0
Joselyn,0
Corrine,0
Tobias,100
Earnestine,0
Kurtis,100
Pearlie,0
Lia,0
Nannie,0
Londyn,0
Rae,0
Romeo,100
Paxton,98
Isla,0
Tate,99
Sharron,0
Hollie,1
Sybil,0
Zayden,100
Janae,0
Emory,78
Dion,99
Nathalie,0
Kenzie,0
Chanel,0
Maverick,100
Consuelo,0
Devan,78
Humberto,100
Earline,0
Gerry,74
Cornelia,0
Deja,0
Kaleigh,0
Kimberlee,0
Vaughn,100
Kaydence,0
Uriel,100
Kade,100
Braylon,100
Jamison,98
Danna,0
Duncan,100
Kierra,0
Eleanore,0
Dona,0
Paulina,0
Dolly,0
Brandie,0
Anahi,0
Carley,0
Cyrus,100
Raphael,100
Damion,100
Arline,0
Odell,80
Gunner,100
Nyla,0
Shania,0
Armani,56
Rashad,100
Aron,100
Madisyn,0
Rickie,98
Deirdre,0
Lilliana,0
Addyson,0
Nanette,0
Juana,0
Keenan,100
Ilene,0
Adalynn,0
Jamar,100
Suzette,0
Regan,6
Cali,0
Abbie,0
Deshawn,98
Hailee,0
Shayna,0
Jarvis,100
Graciela,0
Selina,0
Kinley,0
Neva,0
Cheyanne,0
Tierra,0
Luann,0
Kareem,100
Lavonne,0
Fernanda,0
Donte,100
Adolfo,100
Cecile,0
Anya,0
Miracle,0
Maude,0
Ainsley,0
Brayan,100
Roslyn,0
Pierre,100
Roseann,0
Tyrell,100
Ayanna,0
Bart,100
Letha,0
Rhett,100
Marta,0
Flossie,0
Nicolette,0
Kellen,99
Magdalena,0
Mohamed,100
Melina,0
Curt,100
Karter,90
Jadyn,18
Aldo,100
Cristal,0
Gillian,0
Tiffani,0
Elissa,0
Elvis,100
Colt,100
Marcel,100
Arabella,0
Colten,100
Jerri,0
Casandra,0
Jeanie,0
Alvaro,100
Adolph,100
Kermit,100
Ulysses,100
Kathie,0
Lilian,0
Kaelyn,0
Barrett,100
Thurman,100
Avis,0
Nehemiah,100
Shea,37
Jaqueline,0
Lyndsey,0
Carina,0
Haleigh,0
Rosalinda,0
Kiersten,0
Chantel,0
Dollie,0
Tammi,0
Loraine,0
Bria,0
Trevon,100
Halle,0
Wendi,0
Krystle,0
Meaghan,0
Maximilian,100
Ari,89
Odessa,0
Ned,100
Bruno,100
Bailee,0
Jacklyn,0
Reyna,0
Aspen,2
Chrystal,0
Hal,100
Lourdes,0
Madelynn,0
Agustin,100
Monroe,85
Camron,100
Susanna,0
Danica,0
Ernie,100
Chelsie,0
Jax,100
Lesly,1
Osvaldo,100
Jeffry,100
Vito,100
Kaila,0
Adelyn,0
Braeden,100
Rhiannon,0
Haven,11
Lynnette,0
Corina,0
Al,100
Concetta,0
Charmaine,0
Braydon,100
Estrella,0
Terra,0
Remington,81
Deidre,0
Marcie,0
Carlie,2
Tameka,0
Millard,100
Nataly,0
Coy,100
Norris,100
Margery,0
Irwin,100
Rosario,28
Maximiliano,100
Martina,0
Lakeisha,0
Deanne,0
Mckinley,38
Janell,0
Matteo,100
Jordon,96
Deon,98
Liza,0
Rosanne,0
Moshe,100
Jaelyn,3
Gia,0
Janna,0
Liana,0
Kourtney,1
Josh,100
Rocio,2
Zelma,0
Jayme,9
Beckett,99
Abram,100
Seymour,100
Anika,0
Mohammad,100
Pierce,100
Alyce,0
Lakisha,0
Ahmed,100
Kory,99
Alphonso,100
Kailyn,0
Madyson,0
Tyra,0
Kaley,0
Gus,100
Demarcus,100
Isaias,100
Samara,0
Lexie,0
Jett,100
Marci,0
Mckayla,0
Earlene,0
Prince,100
Ezequiel,100
Elle,0
Armand,100
Maricela,0
Sonny,100
Donnell,100
Barney,100
Scot,100
Yadira,0
Wiley,100
Sheree,0
Jazlyn,0
Karson,96
Gunnar,100
Jarred,100
Edwina,0
Domingo,100
Monty,100
Stephany,0
Bryon,100
Tamera,0
Ophelia,0
Milan,57
Annabella,0
Orion,100
Coleman,100
Russel,100
Aleah,0
Josefina,0
Yasmine,0
Tyree,100
Galen,100
Brenton,100
Carmine,100
Denny,100
Jannie,0
Benito,100
