name,male_percent
senturk,100
bihter,0
sevdet,5
samed,100
attila,100
hafiz,100
abdulsemet,100
gokalp,100
nakiye,0
gulfem,0
bulbul,0
feyat,100
nazliye,0
hayreddin,100
mavus,0
safet,75
yonus,100
zuhriye,0
miyeser,0
hasgul,26
azim,100
sermet,94
munever,0
mesure,0
ubeydullah,100
nerman,0
aysete,0
gozel,8
isin,11
hasbiye,0
ercin,91
faime,0
mevlide,0
mahbube,0
ezel,15
gule,0
feza,21
urkus,0
guldali,0
bunyami,100
hanse,0
salic,0
kupra,0
lutfullah,100
zohra,0
ersun,94
dunya,7
uysal,83
figan,0
guvercin,0
merdan,100
asye,0
hudayi,100
cuneyit,100
gurdal,94
ismehan,0
hanimsah,0
anakadin,0
caziye,0
kadire,0
gulcicek,0
ozal,100
aptullah,100
korkut,100
benan,28
yasa,31
sadun,100
gevri,0
ziyattin,100
ferize,0
kocer,15
baha,100
kutay,100
radife,0
sendogan,92
nevra,0
sulhattin,100
pehlul,100
seyh,100
nilifer,0
semsiye,0
efrahim,100
hani,4
hadra,0
ahmed,100
zernisan,0
sencan,20
halilibrahim,100
zeynettin,93
nasif,100
bedi,100
elvide,0
seydo,100
gulhayat,0
seyyare,0
atanur,95
vecdi,100
guldan,0
zatiye,0
lalihan,0
ilham,72
sultane,0
abdurrezzak,100
nisan,37
zelal,0
marziye,0
goncagul,0
gultaze,0
konca,0
gazel,11
sabite,0
bahittin,100
karani,100
mirze,100
mehlika,0
civan,48
birnur,0
nazi,8
mucevher,0
zeynelabidin,100
rusan,79
asude,0
gulben,0
incilay,0
keser,0
ide,0
yazgulu,0
refia,0
vijdan,0
nazikar,0
zisan,6
anzilha,0
mustan,100
gunnaz,0
aliseydi,100
sidki,100
umur,95
gurel,92
semsihan,0
doner,0
nezahet,0
hamdin,100
zulkif,100
nurcin,0
altay,100
bedevi,5
ednan,100
saltanat,0
recayi,100
kezziban,0
nazdar,0
tazegul,0
hasmet,100
feruzan,11
fatis,0
celaleddin,100
dagistan,100
vacide,0
samime,0
suveyla,0
hudai,100
mevhibe,0
nesih,100
sevgin,46
hurmet,11
fahreddin,100
menduha,0
dogus,94
haney,0
mihri,6
birnaz,0
husmen,100
karanfil,10
naki,100
sahnaz,0
fedile,0
tumay,41
yusra,0
sahzade,16
gulsade,0
efraim,100
abdulvahit,100
gafur,100
abdo,100
erdin,100
yemliha,90
ihsaniye,0
yenigul,0
ilkin,37
muveddet,0
zelihan,0
cisem,0
asena,0
aliosman,100
gulefer,0
mahsun,100
melihe,0
hulki,100
mekkiye,0
sehel,0
kutlu,81
billur,0
erbay,100
fincan,0
tomris,0
alptekin,100
gunaydin,55
muhtar,100
goktug,100
ana,0
nasip,66
selmin,0
ocal,100
mariye,0
miyaser,0
behlul,100
ajda,0
seycan,0
ayben,0
tuncel,100
husrev,100
filit,100
gulisan,0
zeyneb,0
vecide,0
melisa,0
seyfeddin,100
lezgin,100
ozdem,25
horiye,0
seza,12
isilay,0
asil,100
nofa,0
sevnur,0
sari,15
mursit,90
safiya,0
eftal,88
muzafer,94
yazi,0
ferhunde,0
guldem,0
sahre,0
